mpg,cylinders,horsepower,weight
31.0,4,65.0,1773
35.0,4,69.0,1613
31.0,4,67.0,1950
32.0,4,65.0,1836
31.0,4,52.0,1649
32.0,4,61.0,2003
31.0,4,67.0,2000
33.0,4,53.0,1795
33.0,4,53.0,1795
32.0,4,70.0,1990
31.5,4,68.0,2045
36.0,4,58.0,1825
33.5,4,70.0,1945
30.5,4,63.0,2051
33.5,4,83.0,2075
30.5,4,78.0,2190
43.1,4,48.0,1985
36.1,4,66.0,1800
32.8,4,52.0,1985
39.4,4,70.0,2070
36.1,4,60.0,1800
30.9,4,75.0,2230
31.5,4,71.0,1990
31.9,4,71.0,1925
34.1,4,65.0,1975
35.7,4,80.0,1915
34.2,4,70.0,2200
34.5,4,70.0,2150
31.8,4,65.0,2020
37.3,4,69.0,2130
33.5,4,90.0,2556
41.5,4,76.0,2144
38.1,4,60.0,1968
32.1,4,70.0,2120
37.2,4,65.0,2019
34.3,4,78.0,2188
31.3,4,75.0,2542
37.0,4,92.0,2434
32.2,4,75.0,2265
46.6,4,65.0,2110
40.8,4,65.0,2110
44.3,4,48.0,2085
43.4,4,48.0,2335
36.4,5,67.0,2950
44.6,4,67.0,1850
40.9,4,93.5,1835
33.8,4,67.0,2145
32.7,6,132.0,2910
35.0,4,88.0,2500
32.4,4,72.0,2290
39.1,4,58.0,1755
39.0,4,64.0,1875
35.1,4,60.0,1760
32.3,4,67.0,2065
37.0,4,65.0,1975
37.7,4,62.0,2050
34.1,4,68.0,1985
34.7,4,63.0,2215
34.4,4,65.0,2045
33.0,4,74.0,2190
34.5,4,93.5,2320
33.7,4,75.0,2210
32.4,4,75.0,2350
32.9,4,100.0,2615
31.6,4,74.0,2635
30.7,6,76.0,3160
34.0,4,88.0,2395
31.0,4,85.0,2575
36.0,4,74.0,1980
37.0,4,68.0,2025
31.0,4,68.0,1970
38.0,4,63.0,2125
36.0,4,70.0,2125
36.0,4,88.0,2160
36.0,4,75.0,2205
34.0,4,70.0,2245
38.0,4,67.0,1965
32.0,4,67.0,1965
38.0,4,67.0,1995
38.0,6,85.0,3015
32.0,4,96.0,2665
36.0,4,84.0,2370
44.0,4,52.0,2130
32.0,4,84.0,2295
31.0,4,82.0,2720
